,,,10,0.9,0.005,0.5,250
-62,24,6177,,,,,
-62,24,6188,,,,,
-62,24,6199,,,,,
-62,24,6210,,,,,
-62,24,6220,,,,,
-62,24,6231,,,,,
-62,24,6241,,,,,
-62,24,6252,,,,,
-62,24,6262,,,,,
-62,24,6273,,,,,
-62,24,6283,,,,,
-62,24,6294,,,,,
-62,24,6304,,,,,
-63.4,25,6315,,,,,
-62.5,25,6325,,,,,
-62.5,25,6336,,,,,
-62.5,25,6346,,,,,
-61.1,24,6357,,,,,
-62,24,6368,,,,,
-62,24,6378,,,,,
-62,24,6389,,,,,
-62,24,6400,,,,,
-62,24,6411,,,,,
-63.4,25,6421,,,,,
-62.5,25,6431,,,,,
-63.9,26,6442,,,,,
-67.2,29,6452,,,,,
-64.5,29,6462,,,,,
-60.3,26,6473,,,,,
-63,26,6483,,,,,
-57.4,22,6494,,,,,
-61,22,6504,,,,,
-66.6,26,6515,,,,,
-64.4,27,6525,,,,,
-63.5,27,6536,,,,,
-63.5,27,6546,,,,,
-63.5,27,6556,,,,,
-63.5,27,6567,,,,,
-73.3,34,6577,,,,,
-68.4,35,6587,,,,,
-68.9,36,6598,,,,,
-70.8,38,6608,,,,,
-69,38,6618,,,,,
-69,38,6628,,,,,
-69,38,6639,,,,,
-70.4,39,6649,,,,,
-69.5,39,6659,,,,,
-66.7,37,6670,,,,,
-54.5,27,6680,,,,,
-62.1,26,6690,,,,,
-63,26,6701,,,,,
-63,26,6712,,,,,
-63,26,6722,,,,,
-63,26,6733,,,,,
-63,26,6743,,,,,
-63,26,6754,,,,,
-61.6,25,6765,,,,,
-59.7,23,6775,,,,,
-61.5,23,6786,,,,,
-61.5,23,6796,,,,,
-61.5,23,6807,,,,,
-61.5,23,6818,,,,,
-61.5,23,6829,,,,,
-61.5,23,6839,,,,,
-61.5,23,6850,,,,,
-61.5,23,6861,,,,,
-61.5,23,6871,,,,,
-55.9,19,6882,,,,,
-59.5,19,6893,,,,,
-65.1,23,6903,,,,,
-71.3,30,6914,,,,,
-55.2,23,6925,,,,,
-61.5,23,6936,,,,,
-62.9,24,6946,,,,,
-60.6,23,6957,,,,,
-76.9,34,6967,,,,,
-51.6,23,6978,,,,,
-61.5,23,6989,,,,,
-72.7,31,6999,,,,,
-66.9,32,7010,,,,,
-67.4,33,7020,,,,,
-66.5,33,7030,,,,,
-53.9,24,7041,,,,,
-62,24,7051,,,,,
-63.4,25,7061,,,,,
-63.9,26,7072,,,,,
-63,26,7082,,,,,
-63,26,7093,,,,,
-63,26,7104,,,,,
-63,26,7114,,,,,
-63,26,7125,,,,,
-63,26,7135,,,,,
-78.4,37,7146,,,,,
-68.5,37,7156,,,,,
-68.5,37,7168,,,,,
-67.1,36,7179,,,,,
-65.2,34,7190,,,,,
-67,34,7200,,,,,
-67,34,7211,,,,,
-69.8,36,7221,,,,,
-68,36,7231,,,,,
-70.8,38,7242,,,,,
-57.8,30,7252,,,,,
-59.4,26,7263,,,,,
-63,26,7273,,,,,
-63,26,7284,,,,,
-65.8,28,7294,,,,,
-68.2,31,7305,,,,,
-61.3,28,7315,,,,,
-71,33,7325,,,,,
-56.7,26,7335,,,,,
-63,26,7346,,,,,
-63,26,7357,,,,,
-63,26,7368,,,,,
-63,26,7378,,,,,
-63,26,7389,,,,,
-63,26,7399,,,,,
-61.6,25,7409,,,,,
-59.7,23,7420,,,,,
-61.5,23,7431,,,,,
-61.5,23,7441,,,,,
-62.9,24,7452,,,,,
-62,24,7463,,,,,
-60.6,23,7473,,,,,
-61.5,23,7484,,,,,
-61.5,23,7494,,,,,
-61.5,23,7505,,,,,
-61.5,23,7515,,,,,
-61.5,23,7526,,,,,
-61.5,23,7536,,,,,
-61.5,23,7547,,,,,
-74.1,32,7557,,,,,
-53.4,23,7568,,,,,
-78.3,35,7578,,,,,
-67.5,35,7589,,,,,
-63.3,32,7600,,,,,
-68.8,34,7610,,,,,
-67,34,7622,,,,,
-68.4,35,7633,,,,,
-67.5,35,7643,,,,,
-52.1,24,7653,,,,,
-60.6,23,7664,,,,,
-62.9,24,7675,,,,,
-60.6,23,7686,,,,,
-61.5,23,7696,,,,,
-60.1,22,7706,,,,,
-61,22,7717,,,,,
-61,22,7727,,,,,
-61,22,7738,,,,,
-61,22,7748,,,,,
-61,22,7759,,,,,
-61,22,7769,,,,,
-62.4,23,7780,,,,,
-60.1,22,7790,,,,,
-62.4,23,7801,,,,,
-60.1,22,7811,,,,,
-61,22,7822,,,,,
-75,32,7832,,,,,
-52,22,7843,,,,,
-62.4,23,7853,,,,,
-60.1,22,7864,,,,,
-61,22,7874,,,,,
-62.4,23,7885,,,,,
-60.1,22,7895,,,,,
-61,22,7905,,,,,
-61,22,7916,,,,,
-61,22,7926,,,,,
-61,22,7937,,,,,
-65.2,25,7947,,,,,
-63.9,26,7957,,,,,
-63,26,7968,,,,,
-64.4,27,7978,,,,,
-62.1,26,7988,,,,,
-57.4,22,7999,,,,,
-61,22,8009,,,,,
-61,22,8020,,,,,
-65.2,25,8031,,,,,
-73.7,33,8042,,,,,
-69.3,35,8052,,,,,
-53.5,25,8062,,,,,
-61.1,24,8073,,,,,
-60.6,23,8084,,,,,
-51.7,16,8094,,,,,
-63.6,20,8105,,,,,
-60,20,8116,,,,,
-69.8,27,8126,,,,,
-53.7,20,8137,,,,,
-60,20,8147,,,,,
-58.6,19,8158,,,,,
-59.5,19,8168,,,,,
-55.3,16,8178,,,,,
-63.6,20,8189,,,,,
-60,20,8199,,,,,
-60,20,8210,,,,,
-58.6,19,8221,,,,,
-59.5,19,8231,,,,,
-59.5,19,8242,,,,,
-59.5,19,8253,,,,,
-65.1,23,8263,,,,,
-61.5,23,8273,,,,,
-61.5,23,8284,,,,,
-61.5,23,8295,,,,,
-61.5,23,8306,,,,,
-61.5,23,8316,,,,,
-55.9,19,8327,,,,,
-65.1,23,8338,,,,,
-64.3,25,8348,,,,,
-63.9,26,8359,,,,,
-61.6,25,8369,,,,,
-62.5,25,8379,,,,,
-62.5,25,8390,,,,,
189.7,21,8411,,,,,
